record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
581,2025-06-12 04:03:00,6045.25,6046.50,6045.00,6045.25,27,36,63,-9,-915,14264
582,2025-06-12 04:04:00,6045.00,6045.50,6041.25,6042.75,85,120,205,-35,-950,14469
583,2025-06-12 04:05:00,6042.75,6043.25,6040.50,6042.25,100,110,210,-10,-960,14679
584,2025-06-12 04:06:00,6042.50,6043.75,6041.75,6043.75,169,84,253,85,-875,14932
585,2025-06-12 04:07:00,6044.25,6046.75,6044.00,6046.75,84,31,115,53,-822,15047
586,2025-06-12 04:08:00,6046.75,6048.25,6046.50,6047.75,30,20,50,10,-812,15097
587,2025-06-12 04:09:00,6047.25,6048.25,6046.50,6047.75,49,38,87,11,-801,15184
588,2025-06-12 04:10:00,6047.75,6050.50,6047.50,6049.75,35,27,62,8,-793,15246
589,2025-06-12 04:11:00,6049.75,6050.75,6049.00,6050.50,17,17,34,0,-793,15280
590,2025-06-12 04:12:00,6050.25,6051.25,6049.75,6051.00,21,14,35,7,-786,15315
591,2025-06-12 04:13:00,6051.25,6052.25,6050.75,6051.00,43,29,72,14,-772,15387
592,2025-06-12 04:14:00,6050.75,6050.75,6049.75,6050.25,14,19,33,-5,-777,15420
593,2025-06-12 04:15:00,6050.00,6050.25,6049.00,6049.00,13,16,29,-3,-780,15449
594,2025-06-12 04:16:00,6048.75,6050.00,6047.25,6047.25,16,20,36,-4,-784,15485
595,2025-06-12 04:17:00,6047.25,6048.50,6046.25,6047.00,32,41,73,-9,-793,15558
596,2025-06-12 04:18:00,6046.75,6047.25,6045.00,6045.25,36,36,72,0,-793,15630
597,2025-06-12 04:19:00,6045.25,6048.00,6045.25,6048.00,16,23,39,-7,-800,15669
598,2025-06-12 04:20:00,6048.25,6048.75,6047.75,6048.00,23,27,50,-4,-804,15719
599,2025-06-12 04:21:00,6048.25,6050.25,6048.25,6050.00,24,29,53,-5,-809,15772
600,2025-06-12 04:22:00,6050.00,6050.00,6047.50,6047.75,9,21,30,-12,-821,15802
601,2025-06-12 04:23:00,6047.25,6049.00,6047.00,6049.00,17,23,40,-6,-827,15842
602,2025-06-12 04:24:00,6048.25,6048.75,6047.25,6047.25,26,29,55,-3,-830,15897
603,2025-06-12 04:25:00,6047.00,6047.75,6045.50,6045.75,14,23,37,-9,-839,15934
604,2025-06-12 04:26:00,6046.25,6048.25,6046.25,6047.75,43,53,96,-10,-849,16030
605,2025-06-12 04:27:00,6047.75,6048.25,6046.50,6047.00,42,22,64,20,-829,16094
606,2025-06-12 04:28:00,6047.25,6048.50,6047.25,6048.00,13,11,24,2,-827,16118
